Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central African Republic,CAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761904103,1818547558,1741791695,1782406357,1890684965,2081208759,2030206711,2183848425,2306160848,2451396338,2428683089,2608260346,2743228446,2661262337,2872261271,2998400831,3235834044,3481302170,3602871868,3976761130,4240350991,4508217574,4829191121,3139645872,3206186802,3387763841,3587703351,3966633789,4312284264,
Canada,CAN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.40484E+11,5.48492E+11,5.64232E+11,5.94012E+11,6.3267E+11,6.64222E+11,6.8821E+11,7.31752E+11,7.66726E+11,8.17932E+11,8.77384E+11,9.10883E+11,9.4644E+11,9.98171E+11,1.05984E+12,1.14739E+12,1.22157E+12,1.2814E+12,1.32267E+12,1.2855E+12,1.33687E+12,1.40378E+12,1.44204E+12,1.53045E+12,1.5952E+12,1.57047E+12,1.60685E+12,1.69027E+12,1.76357E+12,
Central Europe and the Baltics,CEB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19898E+11,7.53383E+11,8.0833E+11,8.65641E+11,9.07098E+11,9.34354E+11,9.75347E+11,1.00648E+12,1.06781E+12,1.1437E+12,1.22198E+12,1.28101E+12,1.37883E+12,1.47199E+12,1.62208E+12,1.78582E+12,1.99399E+12,2.00075E+12,2.08885E+12,2.2191E+12,2.30425E+12,2.4098E+12,2.50242E+12,2.5952E+12,2.72103E+12,2.94178E+12,3.09071E+12,
Switzerland,CHE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89258E+11,1.94038E+11,1.97816E+11,2.03169E+11,2.08414E+11,2.15621E+11,2.21768E+11,2.35496E+11,2.45359E+11,2.55091E+11,2.7395E+11,2.76465E+11,2.82084E+11,2.94964E+11,3.07426E+11,3.27059E+11,3.62759E+11,3.77925E+11,3.75881E+11,4.08518E+11,4.39637E+11,4.49676E+11,4.72965E+11,4.96497E+11,5.09077E+11,5.42122E+11,5.41546E+11,5.67428E+11,5.86111E+11,
Channel Islands,CHI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56702411060,63373742510,73920149729,82380542371,88890011019,1.01712E+11,1.13115E+11,1.23787E+11,1.31704E+11,1.32231E+11,1.41423E+11,1.49618E+11,1.55784E+11,1.61379E+11,1.73668E+11,1.88423E+11,2.26393E+11,2.48815E+11,2.5426E+11,2.54256E+11,2.88017E+11,3.29369E+11,3.56586E+11,3.77206E+11,3.90604E+11,3.95579E+11,4.05214E+11,4.29559E+11,4.53016E+11,
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12415E+12,1.26937E+12,1.4806E+12,1.72142E+12,1.98814E+12,2.22005E+12,2.48927E+12,2.77423E+12,3.01086E+12,3.29837E+12,3.6626E+12,4.04603E+12,4.5042E+12,5.06871E+12,5.75183E+12,6.57759E+12,7.67843E+12,9.04409E+12,1.015E+13,1.1101E+13,1.23923E+13,1.37894E+13,1.52655E+13,1.66427E+13,1.83679E+13,1.97458E+13,2.13013E+13,2.32482E+13,2.53029E+13,
Cote d'Ivoire,CIV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21688281527,22859480781,23591912990,24020193075,25596211475,28098393509,31309272874,33544919721,36144526905,37089331843,35480054293,35463648913,35011265083,34180501166,37259620830,42151035636,44007100639,45993257284,48213752794,50085984180,51790826080,50433570908,57303471760,62643767692,70853912606,77570059411,84661698864,91977457081,1.00773E+11,
Cameroon,CMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21978659860,21412442008,21349255359,20325204281,21099838555,22216258575,23573703440,25233323560,27005622417,28644720912,29784946287,31489639339,33664305293,36692282358,40778843753,42717191729,46196904358,49292008982,52362961170,54538637175,56734192040,60296571266,63922317531,68291651422,74493977989,79077043993,83404598307,87846980586,93424876351,
"Congo, Dem. Rep.",COD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20691031138,20858078823,22751304674,21796253948,21771254204,20503079405,21034807038,20394707404,21698473375,23545611989,25687895915,27751186946,30424080749,33011910345,34660101260,36886758779,39965060256,43243275549,46982673967,50131412018,56000619571,61244681428,66982405715,70294538061,75581872085,
